City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
hermanus,50,ZA,1575418759,51,-34.42,19.24,14.44,6.26
fallon,1,US,1575418759,60,46.84,-105.12,6.0,5.1
palmer,75,AU,1575418759,59,-34.85,139.16,18.89,4.1
mataura,52,NZ,1575418590,69,-46.19,168.86,15.56,8.05
okha,98,RU,1575418759,67,53.59,142.95,-2.28,9.65
saint-louis,32,SN,1575418759,77,16.03,-16.5,21.0,3.1
busselton,37,AU,1575418759,18,-33.64,115.35,32.22,2.79
tasiilaq,84,GL,1575418509,79,65.61,-37.64,-2.0,2.1
georgetown,40,GY,1575418759,94,6.8,-58.16,25.0,2.1
mar del plata,47,AR,1575418516,63,-46.43,-67.52,12.32,3.68
bredasdorp,91,ZA,1575418759,58,-34.53,20.04,12.0,2.1
bethel,1,US,1575418613,77,60.79,-161.76,-13.0,3.6
turayf,0,SA,1575418759,93,31.68,38.65,5.0,2.1
ushuaia,75,AR,1575418377,66,-54.81,-68.31,10.0,10.8
nuuk,75,GL,1575418759,85,64.17,-51.74,-8.0,6.2
alofi,40,NU,1575418759,66,-19.06,-169.92,29.0,6.2
vallenar,22,CL,1575418759,84,-28.58,-70.76,14.45,1.47
norman wells,90,CA,1575418760,83,65.28,-126.83,-20.0,6.7
zhangjiakou,0,CN,1575418760,76,40.77,114.88,-10.28,2.37
puerto ayora,75,EC,1575418509,65,-0.74,-90.35,25.0,5.7
khatanga,0,RU,1575418599,86,71.98,102.47,-33.05,4.51
dongying,0,CN,1575418760,32,37.43,118.67,1.83,2.82
punta arenas,75,CL,1575418760,62,-53.16,-70.91,12.0,9.8
lakatoro,55,VU,1575418760,79,-16.11,167.42,30.0,4.6
hobart,40,AU,1575418603,35,-42.88,147.33,14.0,9.8
kapaa,90,US,1575418728,74,22.08,-159.32,27.0,5.7
pevek,100,RU,1575418760,80,69.7,170.27,-14.14,2.26
namibe,61,AO,1575418760,82,-15.19,12.15,22.59,2.03
fortuna,1,US,1575418713,82,40.6,-124.16,15.0,4.6
boca do acre,83,BR,1575418761,87,-8.76,-67.39,22.74,0.92
rikitea,84,PF,1575418713,85,-23.12,-134.97,24.66,6.93
dingle,100,PH,1575418609,87,11.0,122.67,26.07,2.04
victoria,75,BN,1575418512,94,5.28,115.24,26.0,1.0
barentu,42,ER,1575418761,67,15.11,37.59,19.2,1.69
kilindoni,24,TZ,1575418761,72,-7.91,39.67,27.93,2.65
atuona,19,PF,1575418517,78,-9.8,-139.03,26.43,6.67
san antonio,0,CL,1575418763,76,-33.58,-71.61,15.0,1.0
campbell river,75,CA,1575418512,87,50.02,-125.24,9.0,8.2
buenavista,40,CO,1575418763,83,4.36,-75.74,24.0,4.1
cabo san lucas,5,MX,1575418511,73,22.89,-109.91,25.0,2.1
fort-shevchenko,56,KZ,1575418763,84,44.51,50.26,0.53,2.66
college,90,US,1575418763,92,64.86,-147.8,-13.0,1.12
alice springs,0,AU,1575418536,18,-23.7,133.88,28.0,7.7
pointe michel,0,DM,1575418763,78,15.25,-61.38,27.98,7.3
salvador,20,BR,1575418763,78,-12.98,-38.48,27.0,4.6
chokurdakh,62,RU,1575418597,99,70.62,147.9,-29.44,1.27
ha tinh,53,VN,1575418552,66,18.33,105.9,19.33,7.25
jamestown,40,AU,1575418509,35,-33.21,138.6,19.48,2.86
ancud,12,CL,1575418824,66,-41.87,-73.83,12.0,5.1
qaanaaq,100,GL,1575418524,76,77.48,-69.36,-15.05,3.05
khomeyn,6,IR,1575418824,87,33.64,50.08,-0.31,1.78
vaini,96,IN,1575418824,86,15.34,74.49,19.44,5.71
butaritari,82,KI,1575418824,75,3.07,172.79,28.98,5.41
tezu,0,IN,1575418824,45,27.93,96.16,12.58,1.2
chake chake,80,TZ,1575418824,72,-5.25,39.77,28.0,3.43
chuy,84,UY,1575418738,60,-33.69,-53.46,18.71,5.2
homer,75,US,1575418525,79,59.64,-151.54,3.0,2.1
port hardy,90,CA,1575418718,100,50.7,-127.42,6.0,2.6
geraldton,90,CA,1575418526,79,49.72,-86.95,-4.0,2.1
lagoa,0,PT,1575418565,81,37.14,-8.45,11.11,2.6
bambous virieux,40,MU,1575418824,78,-20.34,57.76,24.44,4.6
ponta do sol,94,BR,1575418824,90,-20.63,-46.0,19.75,3.01
beira,0,ES,1575418824,100,43.2,-8.36,3.89,2.6
provideniya,75,RU,1575418824,85,64.42,-173.23,-5.0,4.0
coahuayana,0,MX,1575418824,56,18.62,-100.35,25.49,0.24
vulcan,22,CA,1575418824,78,50.4,-113.26,-2.99,1.28
pandan,45,PH,1575418824,69,11.72,122.09,27.73,2.01
lesogorskiy,90,RU,1575418824,92,61.05,28.93,-2.0,3.6
kiunga,100,PG,1575418622,86,-6.12,141.3,26.08,2.48
srikakulam,0,IN,1575418825,80,18.29,83.89,18.62,2.18
tiksi,10,RU,1575418533,98,71.64,128.87,-36.14,0.09
havoysund,75,NO,1575418825,80,71.0,24.66,-1.0,7.2
lebu,40,ET,1575418596,62,8.96,38.73,14.0,5.1
mahebourg,40,MU,1575418714,78,-20.41,57.7,24.44,4.6
hofn,100,IS,1575418825,82,64.25,-15.21,6.66,21.85
aguimes,40,ES,1575418825,68,27.91,-15.45,18.0,4.1
kaitangata,89,NZ,1575418565,48,-46.28,169.85,20.56,6.26
haines junction,100,CA,1575418825,96,60.75,-137.51,-12.33,0.82
nong phai,9,TH,1575418825,53,16.0,101.06,21.11,2.28
bendigo,12,AU,1575418825,46,-36.76,144.28,16.67,2.68
avarua,74,CK,1575418559,78,-21.21,-159.78,27.0,2.1
labuhan,77,ID,1575418566,84,-2.54,115.51,26.23,0.96
north bend,1,US,1575418632,76,43.41,-124.22,13.33,0.61
xinxiang,0,CN,1575418825,25,35.3,113.88,2.67,0.8
zhezkazgan,100,KZ,1575418825,86,47.8,67.71,1.19,6.43
tyler,1,US,1575418602,58,32.35,-95.3,16.0,1.75
los llanos de aridane,20,ES,1575418567,63,28.66,-17.92,18.0,2.6
ribeira grande,98,PT,1575418825,71,38.52,-28.7,14.44,6.02
fairbanks,90,US,1575418617,92,64.84,-147.72,-13.0,0.78
nome,1,US,1575418716,72,30.04,-94.42,16.67,1.5
bubaque,72,GW,1575418886,58,11.28,-15.83,28.5,4.97
santiago de cao,75,PE,1575418886,82,-7.96,-79.24,20.0,3.1
shenjiamen,17,CN,1575418887,49,29.96,122.3,10.65,5.44
gambela,8,ET,1575418887,64,8.25,34.59,23.74,0.99
lavrentiya,53,RU,1575418887,81,65.58,-170.99,-9.29,3.99
cape town,0,ZA,1575418822,54,-33.93,18.42,15.56,13.9
vanavara,96,RU,1575418887,98,60.35,102.28,-24.63,2.13
coquimbo,100,CL,1575418626,82,-29.95,-71.34,15.0,5.1
saint-ambroise,20,CA,1575418752,84,48.56,-71.32,-11.0,1.08
troy,1,US,1575418654,63,42.73,-73.69,-1.0,7.2
yellowknife,75,CA,1575418887,84,62.45,-114.38,-16.0,4.6
tuktoyaktuk,75,CA,1575418887,75,69.44,-133.03,-25.0,2.6
pisco,75,PE,1575418887,88,-13.71,-76.2,20.0,3.6
gillette,1,US,1575418887,69,44.29,-105.5,2.0,4.1
katsuura,20,JP,1575418887,61,33.93,134.5,9.0,3.6
isangel,20,VU,1575418610,59,-19.55,169.27,32.0,3.1
port alfred,51,ZA,1575418887,66,-33.59,26.89,16.67,2.68
northam,94,AU,1575418887,34,-31.65,116.67,28.0,4.1
dikson,100,RU,1575418610,87,73.51,80.55,-16.09,5.26
raudeberg,100,NO,1575418888,87,61.99,5.14,9.0,8.2
kudahuvadhoo,82,MV,1575418888,76,2.67,72.89,28.28,4.16
nyurba,14,RU,1575418888,93,63.29,118.35,-35.36,3.12
gamba,0,CN,1575418888,16,28.28,88.52,-10.52,2.19
dorado,40,PR,1575418728,78,18.46,-66.27,28.0,1.5
codrington,0,AU,1575418614,13,-28.95,153.24,31.67,2.6
borogontsy,96,RU,1575418888,95,62.67,131.17,-34.55,3.78
saint george,90,GR,1575418715,81,39.45,22.34,10.0,2.6
vila franca do campo,40,PT,1575418633,72,37.72,-25.43,16.0,5.1
solnechnyy,100,RU,1575418888,87,50.72,136.64,-12.86,2.28
hilo,90,US,1575418889,78,19.71,-155.08,25.0,4.6
lorengau,95,PG,1575418613,72,-2.02,147.27,28.83,2.27
hithadhoo,28,MV,1575418889,78,-0.6,73.08,28.2,3.6
pindiga,100,NG,1575418889,24,9.98,10.93,22.07,2.38
sorland,100,NO,1575418623,92,67.67,12.69,7.56,14.56
nantucket,1,US,1575418672,64,41.28,-70.1,2.22,5.7
tuatapere,97,NZ,1575418891,79,-46.13,167.69,13.89,8.05
severo-kurilsk,74,RU,1575418718,73,50.68,156.12,-5.28,7.62
saint-philippe,75,CA,1575418891,63,45.36,-73.48,-1.11,3.6
blythe,1,US,1575418891,51,33.61,-114.59,16.11,2.1
langsa,22,ID,1575418891,93,4.47,97.97,23.42,1.06
vestmannaeyjar,100,IS,1575418891,65,63.44,-20.27,4.88,11.57
barrow,33,AR,1575418891,76,-38.31,-60.23,11.64,1.69
crotone,68,IT,1575418891,79,39.09,17.12,12.08,9.12
half moon bay,75,US,1575418892,82,37.46,-122.43,16.0,1.5
salalah,100,OM,1575418892,57,17.01,54.1,25.0,7.7
hamilton,90,CA,1575418704,100,43.26,-79.87,0.56,3.1
huntsville,1,US,1575418663,78,34.73,-86.59,5.0,1.14
esperance,60,AU,1575418952,32,-33.86,121.89,29.0,10.3
ugoofaaru,96,MV,1575418952,80,5.67,73.0,28.37,6.47
port blair,40,IN,1575418953,74,11.67,92.75,28.0,5.1
constitucion,5,MX,1575418953,8,23.99,-104.67,24.0,2.6
cidreira,0,BR,1575418953,70,-30.17,-50.22,20.77,12.47
laguna,90,BZ,1575418717,94,16.17,-88.94,23.0,3.1
sherbakul,90,RU,1575418953,92,54.63,72.39,-11.0,2.0
cockburn town,0,TC,1575418953,69,21.46,-71.14,26.94,3.37
maniitsoq,100,GL,1575418953,87,65.42,-52.9,-8.44,6.26
new norfolk,75,AU,1575418953,35,-42.78,147.06,14.0,11.3
lompoc,90,US,1575418953,48,34.64,-120.46,18.0,4.1
port keats,30,AU,1575418953,54,-14.25,129.55,32.79,1.35
doha,1,QA,1575418953,72,25.29,51.53,22.0,2.1
ergani,6,TR,1575418953,92,38.27,39.76,-1.0,3.1
son la,6,VN,1575418953,86,21.32,103.9,8.94,0.75
dudinka,87,RU,1575418953,61,69.41,86.18,-11.0,6.0
todos santos,5,MX,1575418953,73,23.45,-110.23,25.0,2.1
hillsborough,90,US,1575418953,77,37.57,-122.38,16.0,3.64
kargasok,87,RU,1575418953,96,59.06,80.87,-12.21,3.42
luanda,75,AO,1575418953,83,-8.83,13.24,26.0,2.1
thompson,75,CA,1575418953,85,55.74,-97.86,-12.0,1.5
chanute,1,US,1575418682,56,37.68,-95.46,8.0,1.5
atar,0,MR,1575418953,41,20.52,-13.05,17.66,3.67
chapais,1,CA,1575418787,85,49.78,-74.86,-12.0,1.5
laje,95,BR,1575418953,94,-13.18,-39.42,21.5,2.75
te anau,100,NZ,1575418953,88,-45.41,167.72,8.98,3.29
bekwai,50,GH,1575418954,85,6.46,-1.58,23.85,1.55
ulladulla,0,AU,1575418954,15,-35.36,150.48,26.0,8.2
teeli,0,RU,1575418954,40,51.01,90.2,-17.49,0.25
kahului,40,US,1575418954,45,20.89,-156.47,31.0,6.7
paita,40,PE,1575418954,100,-5.09,-81.11,17.0,4.6
husavik,86,CA,1575418954,92,50.56,-96.99,-4.26,4.1
henties bay,80,NA,1575418954,87,-22.12,14.28,14.44,1.79
orizona,97,BR,1575418954,91,-17.03,-48.3,21.17,1.49
makakilo city,20,US,1575418725,61,21.35,-158.09,28.0,4.6
arlington,1,US,1575418737,44,32.74,-97.11,17.22,1.5
east london,60,ZA,1575418954,74,-33.02,27.91,15.74,7.59
albany,1,US,1575418907,63,42.65,-73.75,-1.0,7.2
potsdam,75,DE,1575418954,87,52.4,13.06,6.67,5.1
tieling,0,CN,1575418954,49,42.29,123.84,-15.05,0.48
umm kaddadah,3,SD,1575418855,32,13.6,26.69,19.1,5.34
segezha,100,RU,1575419014,83,63.74,34.31,-2.66,4.9
narsaq,12,GL,1575419014,52,60.91,-46.05,-8.0,3.1
pangnirtung,20,CA,1575419014,64,66.15,-65.72,-20.0,6.2
angoche,59,MZ,1575419014,85,-16.23,39.91,25.19,1.39
upernavik,100,GL,1575418730,82,72.79,-56.15,-10.83,2.81
carutapera,0,BR,1575418774,77,-1.2,-46.02,28.17,7.68
longyearbyen,9,NO,1575419017,62,78.22,15.63,-6.0,5.1
nemuro,20,JP,1575419017,32,43.32,145.57,-3.0,11.3
nikolskoye,99,RU,1575419017,86,59.7,30.79,-1.0,6.0
mtsamboro,82,YT,1575419017,88,-12.7,45.07,27.0,1.0
port lincoln,0,AU,1575418729,49,-34.72,135.86,19.32,1.95
port hedland,12,AU,1575419017,17,-20.31,118.58,34.0,1.5
yulara,0,AU,1575419017,13,-25.24,130.99,30.0,7.2
sevierville,20,US,1575419018,74,35.87,-83.56,4.44,2.15
matay,3,EG,1575419018,73,28.42,30.79,11.97,4.33
indiana,90,US,1575418752,91,40.62,-79.15,1.11,6.2
melekhovo,96,RU,1575419018,97,54.43,41.37,-5.77,2.22
seoul,1,KR,1575418925,64,37.57,126.98,1.0,1.09
nizwa,0,OM,1575419019,70,22.93,57.53,15.19,1.15
port elizabeth,1,US,1575419019,59,39.31,-74.98,4.44,1.5
guerrero negro,56,MX,1575419019,43,27.97,-114.04,20.24,4.21
south lake tahoe,90,US,1575419019,93,38.93,-119.98,2.78,2.1
kodiak,1,US,1575419019,52,39.95,-94.76,8.89,4.6
buraydah,0,SA,1575419019,71,26.33,43.97,12.0,1.5
athabasca,52,CA,1575419019,76,54.72,-113.29,-4.2,3.52
adrar,0,DZ,1575419019,46,27.87,-0.29,12.0,3.6
vostok,100,RU,1575419019,92,46.45,135.83,-23.52,3.16
aksha,0,RU,1575419019,85,50.28,113.29,-25.96,1.9
cherskiy,83,RU,1575419020,97,68.75,161.3,-29.62,2.47
bandarbeyla,100,SO,1575419020,72,9.49,50.81,25.49,12.12
mujiayingzi,56,CN,1575419020,66,42.12,118.78,-10.02,1.38
macenta,0,GN,1575419020,48,8.55,-9.47,19.25,0.79
bowen,37,AU,1575419020,46,-20.01,148.25,34.0,5.7
tweed,40,CA,1575419020,63,44.48,-77.31,-1.11,3.6
jiangkou,0,CN,1575419020,50,30.7,117.56,5.71,1.05
saint-augustin,40,CA,1575419020,54,45.63,-73.98,-1.11,2.6
badiraguato,5,MX,1575419020,74,25.36,-107.55,26.0,2.6
lawrenceburg,20,US,1575419021,65,35.24,-87.33,6.0,2.07
guryevsk,100,RU,1575419021,92,54.28,85.93,-3.39,5.44
biak,100,ID,1575419021,71,-0.91,122.88,27.66,1.07
castro,17,CL,1575419081,66,-42.48,-73.76,12.0,5.1
carnarvon,5,ZA,1575419082,74,-30.97,22.13,5.88,10.59
tigzirt,60,DZ,1575419083,60,36.57,4.2,9.51,5.09
shinpokh,20,PK,1575419083,66,34.33,71.18,10.0,2.1
jiujiang,0,CN,1575419083,65,29.73,115.99,6.38,1.74
klaksvik,100,FO,1575419083,93,62.23,-6.59,9.0,10.8
daultala,34,PK,1575419083,70,33.19,73.14,8.89,4.1
dubti,100,ET,1575419083,56,11.74,41.09,24.92,2.27
maragogi,1,BR,1575419084,79,-9.01,-35.22,26.44,6.96
cabedelo,20,BR,1575419084,78,-6.97,-34.84,26.0,3.1
chulman,100,RU,1575419084,96,56.84,124.9,-33.55,2.46
juegang,0,CN,1575419084,61,32.31,121.18,6.67,2.68
sinnamary,21,GF,1575419084,81,5.38,-52.96,27.37,7.12
vaitape,50,PF,1575419013,70,-16.52,-151.75,28.13,2.63
honningsvag,100,NO,1575419084,79,70.98,25.97,-4.0,1.5
aykhal,75,RU,1575418852,75,65.95,111.51,-28.0,2.0
airai,67,TL,1575419084,54,-8.93,125.41,25.75,1.64
pundaguitan,98,PH,1575419084,73,6.37,126.17,28.0,2.9
mahajanga,20,MG,1575419085,65,-15.72,46.32,27.0,2.6
sao miguel do araguaia,53,BR,1575419086,84,-13.28,-50.16,23.83,1.87
awbari,92,LY,1575419086,24,26.59,12.77,18.78,3.62
mineiros,85,BR,1575419086,85,-17.57,-52.55,22.28,0.97
port macquarie,0,AU,1575418978,16,-31.43,152.91,30.56,4.1
manggar,100,ID,1575419086,75,-2.88,108.27,28.07,4.12
el alto,75,BO,1575419086,87,-16.5,-68.19,7.0,1.5
hirara,75,JP,1575419086,64,24.8,125.28,20.0,7.2
miraflores,33,PE,1575419086,44,-16.39,-71.52,15.0,3.6
ahipara,2,NZ,1575419086,69,-35.17,173.16,27.78,2.45
wellington,0,NZ,1575419086,68,-41.29,174.78,19.0,10.3
bambanglipuro,39,ID,1575419086,74,-7.95,110.28,26.65,1.69
sabha,100,LY,1575419086,24,27.03,14.43,18.51,4.88
ntcheu,27,MW,1575419086,82,-14.82,34.64,18.34,3.92
poum,100,MK,1575419086,95,41.28,20.71,-1.64,2.96
kavali,58,IN,1575419086,78,14.91,79.99,24.45,4.84
svetlogorsk,20,RU,1575419086,84,53.14,59.15,-15.0,1.0
kruisfontein,58,ZA,1575419086,72,-34.0,24.73,11.49,3.38
katubao,75,PH,1575419086,83,5.89,124.83,27.0,1.0
port shepstone,100,ZA,1575419086,92,-30.74,30.45,14.97,4.37
kloulklubed,90,PW,1575419086,88,7.04,134.26,26.0,2.6
cayenne,75,GF,1575418842,88,4.94,-52.33,26.0,1.5
brae,83,GB,1575419087,93,60.4,-1.35,8.0,7.7
houma,0,CN,1575419087,41,35.63,111.36,-1.78,1.12
baiyin,0,CN,1575419147,77,36.55,104.13,-14.0,2.0
grindavik,40,IS,1575419147,74,63.84,-22.43,3.0,7.2
meadow lake,20,CA,1575419147,74,54.13,-108.44,-1.0,5.1
richards bay,100,ZA,1575419147,78,-28.77,32.06,20.5,13.33
casper,1,US,1575419147,69,42.87,-106.31,1.0,7.2
kampot,100,KH,1575419147,50,10.62,104.18,24.0,7.2
manjacaze,66,MZ,1575419147,78,-24.71,33.88,24.0,7.95
thinadhoo,57,MV,1575419147,75,0.53,72.93,28.27,3.47
ucluelet,90,CA,1575419147,93,48.94,-125.55,8.33,3.6
antofagasta,20,CL,1575419147,72,-23.65,-70.4,17.0,4.6
